lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
50.5910147681,5.8665811047,Verviers,Belgium,French,1950,Leon Brodovikoff and Claire Robert,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/1950%20Leon%20Brodovikoff%20and%20Claire%20Robert.jpg,Jane Eyre,Editions Gerard. Collection Marabout,Verviers. Belgium,
50.5910147681,5.8665811047,Verviers,Belgium,French,1955,Leon Brodovikoff and Claire Robert,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/1955%20Leon%20Brodovikoff%20and%20Claire%20Robert.jpg,Jane Eyre,Editions Gerard. Collection Marabout,Verviers. Belgium,
48.8443453265,2.3275444451,Paris,France,French,1964,Charlotte Maurat,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/1964%20Charlotte%20Maurat.jpg,Jane Eyre,Librairie Générale Française (LGF). collection Le Livre de Poche,Paris. France,
48.8443453265,2.3275444451,Paris,France,French,1996,Charlotte Maurat,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/1996%20Charlotte%20Maurat.jpg,Jane Eyre,Classiques' Librairie Générale Française (LGF). collection Le Livre de Poche,Paris. France,
48.8569961506,2.3286621921,Paris,France,French,2008,Dominique Jean,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/2008%20Dominique%20Jean.jpg,Jane Eyre,"Gallimard. Collection ""Folio Clasique""",5 Rue Gaston Gallimard. Paris 75007. France,
48.8443453265,2.3275444451,Paris,France,French,2012,Charlotte Maurat,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/2012%20Charlotte%20Maurat.jpg,Jane Eyre,Classiques' Librairie Générale Française (LGF). collection Le Livre de Poche,Paris. France,
48.8443453265,2.3275444451,Paris,France,French,2014,Charlotte Maurat,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/2014%20Charlotte%20Maurat.jpg,Jane Eyre,Classiques' Librairie Générale Française (LGF). collection Le Livre de Poche,Paris. France,
48.8443453265,2.3275444451,Paris,France,French,2016,Charlotte Maurat,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/2016%20Charlotte%20Maurat.jpg,Jane Eyre,Classiques' Librairie Générale Française (LGF). collection Le Livre de Poche,Paris. France,Reprint of the 1964 edition
50.8431515783,4.3447707975,Verviers and Brussels,Belgium,French,Date not indicated,Leon Brodovikoff and Claire Robert,https://raw.githubusercontent.com/digitalkoine/french_storymap/main/french/no%20date%20Leon%20Brodovikoff%20and%20Claire%20Robert.jpg,Jane Eyre,Editions Gerard. Collection Marabout,Verviers and Brussels. Belgium,
